TS_ring,RH_name,RH_smiles,RH_Eele_TZVP,Rrad_name,Rrad_smiles,Rrad_Eele_TZVP,Rrad_Eele_def2SVP,ROO_name,ROO_smiles,ROO_Eele_TZVP,ROO_Eele_def2SVP,QOOH_name,QOOH_smiles,QOOH_Eele_TZVP,QOOH_Eele_def2SVP,TS_name,TS_smiles,TS_Eele_TZVP,TS_Eele_def2SVP,IRC_npoints,IRC_Efirst,IRC_Elast,IRC_Emin,IRC_Emax,bondsbroken_IRC_F,bondsbroken_IRC_B,IRC_energies
5,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00004,CCC[C]1C[C@@H]1C,-274.641992094966,-274.311021700626,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002,CCC[C@@]1(O[O])C[C@@H]1C,-425.129176630596,-424.614227584772,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00001,CC[CH][C@@]1(OO)C[C@@H]1C,-425.105570825729,-424.582761320038,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00001_Nbridge_01,CC[C@@H]1[N]OO[C@@]12C[C@@H]2C,-425.067686844483,-424.547466671414,50,-39.517077,-20.041426,-39.517077,0.0,1,1,"-39.517077;-39.447429;-39.368470;-39.284239;-39.189770;-39.085181;-38.971572;-38.841971;-38.712126;-38.621758;-38.516785;-37.765338;-36.685392;-35.188418;-33.105521;-30.422383;-26.621365;-21.104603;-13.390275;-1.251238;0.000000;-1.129001;-5.479558;-8.816213;-11.361920;-13.289807;-14.846116;-16.084554;-17.067036;-17.420193;-17.549669;-17.740570;-17.932814;-18.112577;-18.283786;-18.446588;-18.601728;-18.748924;-18.890133;-19.024554;-19.152407;-19.274677;-19.390734;-19.501373;-19.606318;-19.704332;-19.798147;-19.884863;-19.968022;-20.041426"
5,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00004,CCC[C]1C[C@@H]1C,-274.641992094966,-274.311021700626,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002,CCC[C@@]1(O[O])C[C@@H]1C,-425.129176630596,-424.614227584772,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00001,CC[CH][C@@]1(OO)C[C@@H]1C,-425.105570825729,-424.582761320038,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00001_Nbridge_02,CC[C@H]1[N]OO[C@@]12C[C@@H]2C,-425.066627562644,-424.546299232339,50,-39.201618,-20.483343,-39.201618,0.0,1,1,"-39.201618;-39.107838;-39.009482;-38.891276;-38.778908;-38.674633;-38.604163;-37.933661;-36.907604;-35.435065;-33.363510;-30.658908;-26.858618;-21.337433;-13.585286;-1.256795;0.000000;-1.124786;-5.492686;-8.844575;-11.379242;-13.298296;-14.850125;-16.099998;-17.103462;-17.862451;-18.018221;-18.167564;-18.334451;-18.506077;-18.666697;-18.816023;-18.962711;-19.100000;-19.234316;-19.358971;-19.482141;-19.595585;-19.706109;-19.810235;-19.907098;-20.001930;-20.090268;-20.175691;-20.254323;-20.328416;-20.393597;-20.417407;-20.448708;-20.483343"
6,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00004,CCC[C]1C[C@@H]1C,-274.641992094966,-274.311021700626,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002,CCC[C@@]1(O[O])C[C@@H]1C,-425.129176630596,-424.614227584772,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00004,C[CH]C[C@@]1(OO)C[C@@H]1C,-425.104139298304,-424.581138303264,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00004_Nbridge_01,C[C@@H]1C[C@]2(C[C@@H]2C)OO[N]1,-425.086110935092,-424.567849806450,40,-25.357034,-8.356961,-25.357034,0.0,1,1,"-25.357034;-25.261822;-25.159981;-25.051974;-24.938069;-24.815640;-24.683790;-24.544578;-24.393908;-24.241888;-24.155505;-23.829462;-22.960356;-21.791174;-20.243775;-18.186028;-15.526998;-11.840431;-7.135914;-1.254718;0.000000;-0.997667;-3.013639;-4.515225;-5.726299;-6.637908;-6.831462;-6.969925;-7.144623;-7.314355;-7.467778;-7.610013;-7.739390;-7.857423;-7.964501;-8.061140;-8.148069;-8.225128;-8.294282;-8.356961"
6,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00004,CCC[C]1C[C@@H]1C,-274.641992094966,-274.311021700626,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002,CCC[C@@]1(O[O])C[C@@H]1C,-425.129176630596,-424.614227584772,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00004,C[CH]C[C@@]1(OO)C[C@@H]1C,-425.104139298304,-424.581138303264,bigQM7w_008819_stereo_00001_C_rad_00004_ROO_00002_QOOH_00004_Nbridge_02,C[C@H]1C[C@]2(C[C@@H]2C)OO[N]1,-425.086769712146,-424.569018677544,38,-8.540611,-26.578896,-26.578896,0.0,1,1,"-8.540611;-8.484042;-8.418025;-8.342677;-8.257338;-8.166795;-8.060312;-7.946344;-7.816900;-7.687797;-7.605504;-7.495918;-6.808944;-5.880193;-4.643937;-3.078249;-0.990904;0.000000;-1.244274;-7.077300;-11.800151;-15.543454;-18.313844;-20.522196;-22.247898;-23.600666;-24.636982;-25.411462;-25.567222;-25.648641;-25.790998;-25.931261;-26.060032;-26.179420;-26.291725;-26.393970;-26.489735;-26.578896"
6,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00005,CCC[C@@H]1[CH][C@@H]1C,-274.634815712668,-274.303692581361,bigQM7w_008819_stereo_00001_C_rad_00005_ROO_00002,CCC[C@H]1[C@@H](C)[C@H]1O[O],-425.123236039837,-424.607486317462,bigQM7w_008819_stereo_00001_C_rad_00005_ROO_00002_QOOH_00004,CC[CH][C@H]1[C@@H](C)[C@H]1OO,-425.103590289315,-424.580695562848,bigQM7w_008819_stereo_00001_C_rad_00005_ROO_00002_QOOH_00004_Nbridge_01,CC[C@@H]1[N]OO[C@@H]2[C@H](C)[C@@H]21,-425.069555597979,-424.553007425501,45,-28.525108,-5.591920,-28.525108,0.0,1,1,"-28.525108;-28.430116;-28.329890;-28.228828;-28.121989;-28.010854;-27.894383;-27.772919;-27.644151;-27.510810;-27.371105;-27.221773;-27.064387;-26.896266;-26.727385;-26.628522;-26.400981;-25.516906;-24.353623;-22.790406;-20.661364;-17.793082;-13.730324;-8.287869;-1.428246;0.000000;-0.821608;-2.165988;-3.159068;-3.430802;-3.831010;-4.221659;-4.552154;-4.835719;-5.068824;-5.256145;-5.300501;-5.328417;-5.369272;-5.410597;-5.449384;-5.487342;-5.523831;-5.558673;-5.591920"
6,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00005,CCC[C@@H]1[CH][C@@H]1C,-274.634815712668,-274.303692581361,bigQM7w_008819_stereo_00001_C_rad_00005_ROO_00002,CCC[C@H]1[C@@H](C)[C@H]1O[O],-425.123236039837,-424.607486317462,bigQM7w_008819_stereo_00001_C_rad_00005_ROO_00002_QOOH_00004,CC[CH][C@H]1[C@@H](C)[C@H]1OO,-425.103590289315,-424.580695562848,bigQM7w_008819_stereo_00001_C_rad_00005_ROO_00002_QOOH_00004_Nbridge_02,CC[C@H]1[N]OO[C@@H]2[C@H](C)[C@@H]21,-425.080780039767,-424.562760861567,42,-25.203161,-10.565440,-25.203161,0.0,1,1,"-25.203161;-25.110575;-25.011225;-24.905541;-24.789387;-24.670617;-24.538904;-24.401415;-24.251387;-24.101662;-24.012886;-23.846661;-23.069660;-22.059417;-20.769557;-19.137551;-17.044488;-14.400838;-10.876522;-6.484069;-1.192655;0.000000;-1.083056;-3.708467;-5.655569;-7.168290;-8.219976;-8.586923;-8.773219;-8.980729;-9.179336;-9.361314;-9.532551;-9.687740;-9.835007;-9.968120;-10.092173;-10.204730;-10.308084;-10.403214;-10.488186;-10.565440"
6,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00006,CCC[C@@H]1C[C]1C,-274.642309907913,-274.311327346301,bigQM7w_008819_stereo_00001_C_rad_00006_ROO_00002,CCC[C@@H]1C[C@]1(C)O[O],-425.130720829855,-424.615227483734,bigQM7w_008819_stereo_00001_C_rad_00006_ROO_00002_QOOH_00004,CC[CH][C@@H]1C[C@]1(C)OO,-425.105945625307,-424.582076465922,bigQM7w_008819_stereo_00001_C_rad_00006_ROO_00002_QOOH_00004_Nbridge_01,CC[C@@H]1[N]OO[C@@]2(C)C[C@@H]12,-425.086916456305,-424.568264083917,43,-25.432333,-11.039723,-25.432333,0.0,1,1,"-25.432333;-25.353095;-25.267681;-25.175643;-25.075471;-24.968380;-24.854989;-24.728869;-24.600981;-24.458963;-24.315026;-24.221156;-24.091720;-23.344758;-22.361425;-21.091842;-19.464709;-17.360659;-14.685028;-11.102150;-6.621248;-1.197270;0.000000;-1.081633;-3.748462;-5.740211;-7.301539;-8.425623;-9.309574;-9.560964;-9.670550;-9.838057;-10.002321;-10.149276;-10.286062;-10.412763;-10.527185;-10.634098;-10.731395;-10.820414;-10.900669;-10.974996;-11.039723"
6,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00006,CCC[C@@H]1C[C]1C,-274.642309907913,-274.311327346301,bigQM7w_008819_stereo_00001_C_rad_00006_ROO_00002,CCC[C@@H]1C[C@]1(C)O[O],-425.130720829855,-424.615227483734,bigQM7w_008819_stereo_00001_C_rad_00006_ROO_00002_QOOH_00004,CC[CH][C@@H]1C[C@]1(C)OO,-425.105945625307,-424.582076465922,bigQM7w_008819_stereo_00001_C_rad_00006_ROO_00002_QOOH_00004_Nbridge_02,CC[C@H]1[N]OO[C@@]2(C)C[C@@H]12,-425.087520098326,-424.569485028605,40,-25.399677,-10.599257,-25.399677,0.0,1,1,"-25.399677;-25.309281;-25.209663;-25.101054;-24.983451;-24.854598;-24.716449;-24.562143;-24.407159;-24.307729;-24.159643;-23.334426;-22.236768;-20.833565;-19.070972;-16.869855;-14.158363;-10.612442;-6.265299;-1.185866;0.000000;-1.095582;-3.826730;-5.859381;-7.385387;-8.441905;-8.783410;-8.954255;-9.159707;-9.356242;-9.533721;-9.698430;-9.849849;-9.986172;-10.114698;-10.228858;-10.334785;-10.431897;-10.519428;-10.599257"
5,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00007,[CH2][C@H]1C[C@H]1CCC,-274.652032145491,-274.319698778122,bigQM7w_008819_stereo_00001_C_rad_00007_ROO_00001,CCC[C@@H]1C[C@@H]1CO[O],-425.124872264327,-424.607377807362,bigQM7w_008819_stereo_00001_C_rad_00007_ROO_00001_QOOH_00002,CCC[C@@H]1C[C]1COO,-425.083357179033,-424.559667513844,bigQM7w_008819_stereo_00001_C_rad_00007_ROO_00001_QOOH_00002_Nbridge_01,CCC[C@@H]1C[C@@]12COO[N]2,-425.056537716350,-424.535546955149,50,-44.341498,-14.222764,-44.341498,0.0,1,1,"-44.341498;-44.248896;-44.149134;-44.046465;-43.941044;-43.829343;-43.714300;-43.592619;-43.468164;-43.338023;-43.203414;-43.060859;-42.910833;-42.756540;-42.593434;-42.429060;-42.346181;-42.027337;-41.138426;-39.881244;-38.205986;-35.768796;-32.693409;-28.197849;-21.809302;-13.415357;-1.323631;0.000000;-1.049800;-3.886061;-6.025064;-7.788049;-9.207955;-10.364849;-11.249544;-11.434521;-11.819336;-12.208632;-12.571466;-12.893921;-13.176309;-13.403949;-13.459884;-13.576331;-13.694893;-13.811680;-13.921809;-14.027039;-14.128347;-14.222764"
5,bigQM7w_008819_stereo_00001,CCC[C@@H]1C[C@@H]1C,-275.317399784268,bigQM7w_008819_stereo_00001_C_rad_00007,[CH2][C@H]1C[C@H]1CCC,-274.652032145491,-274.319698778122,bigQM7w_008819_stereo_00001_C_rad_00007_ROO_00001,CCC[C@@H]1C[C@@H]1CO[O],-425.124872264327,-424.607377807362,bigQM7w_008819_stereo_00001_C_rad_00007_ROO_00001_QOOH_00002,CCC[C@@H]1C[C]1COO,-425.083357179033,-424.559667513844,bigQM7w_008819_stereo_00001_C_rad_00007_ROO_00001_QOOH_00002_Nbridge_02,CCC[C@@H]1C[C@]12COO[N]2,-425.056177623568,-424.535047509444,50,-15.128923,-42.225482,-42.225482,0.0,1,1,"-15.128923;-15.096951;-15.066866;-15.035434;-15.002025;-14.966805;-14.934232;-14.899505;-14.862540;-14.829753;-14.810993;-14.747068;-14.674079;-14.591621;-14.503879;-14.410220;-14.313283;-14.212239;-14.105298;-13.995319;-13.879753;-13.756990;-13.628465;-13.492080;-13.367215;-13.270044;-12.985998;-12.655440;-12.289547;-11.893652;-11.504084;-11.318553;-10.422625;-9.271358;-7.868306;-6.115221;-3.942858;-1.054306;0.000000;-1.313792;-13.422486;-21.822477;-28.156304;-32.602792;-35.582790;-37.920671;-39.520874;-40.717489;-41.586277;-42.225482"
